Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-64716-13111-6,131.202.240.87,64716,131.202.6.26,13111,6,29/04/2015 12:44:11 PM,1445,3,3,2,2,2,0,0.666666667,1.154700538,2,0,0.666666667,1.154700538,2768.16609,4152.249135,289,245.423104,640,53,746,373,87.68124087,435,311,1392,696,79.19595949,752,640,0,0,0,0,60,84,2076.124567,2076.124567,0,2,0.571428571,0.975900073,0.952380952,0,1,0,0,0,0,0,0,1,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,3,2,3,2,-1,516,1,0,0,0,0,0,0,0,0,0,0
131.202.240.87-131.202.6.26-64716-13111-6,131.202.6.26,13111,131.202.240.87,64716,6,29/04/2015 12:44:11 PM,31,1,1,0,0,0,0,0,0,0,0,0,0,0,64516.12903,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32258.06452,32258.06452,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,0
131.202.240.87-205.188.12.91-42522-443-6,205.188.12.91,443,131.202.240.87,42522,6,29/04/2015 12:43:23 PM,96165946,39,40,3933,2244,378,0,100.8461538,115.8080395,277,0,56.1,67.39466615,64.23271706,0.821496624,1232896.744,3653471.908,2.98E+07,43,9.32E+07,2453019.553,4979907.81,2.99E+07,387,9.61E+07,2464288.59,4914521.557,2.99E+07,19899,0,1,0,0,780,800,0.405548966,0.415947658,0,378,80.675,98.42722364,9687.918354,0,0,0,1,1,0,0,0,1,81.69620253,100.8461538,56.1,0,0,0,0,0,0,39,3933,40,2244,-1,64800,22,0,4212181,4221001.62,9239074,57918,9683054.833,9878269.242,2.98E+07,5122731,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,6,29/04/2015 12:43:08 PM,90172779,3,5,18,6,6,6,6,0,6,0,1.2,2.683281573,0.26615571,0.08871857,1.29E+07,1.59E+07,2.98E+07,172019,6.00E+07,3.00E+07,117.3797257,3.00E+07,3.00E+07,9.02E+07,2.25E+07,1.49E+07,3.00E+07,172670,0,1,0,0,60,100,0.033269464,0.055449106,0,6,3.333333333,3.16227766,10,0,0,0,1,1,0,0,0,1,3.75,6,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,172399.6667,339.2349235,172670,172019,2.98E+07,404.9794233,2.98E+07,2.98E+07,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 12:43:08 PM,99835719,4,6,18,221,6,0,4.5,3,215,0,36.83333333,87.3164742,2.393932777,0.100164551,1.11E+07,1.44E+07,2.98E+07,50875,6.98E+07,2.33E+07,1.16E+07,3.00E+07,9835056,9.98E+07,2.00E+07,1.42E+07,3.00E+07,170416,0,1,0,0,80,120,0.040065821,0.060098731,0,215,22.27272727,63.99076638,4094.818182,0,0,0,1,1,0,0,0,1,24.5,4.5,36.83333333,0,0,0,0,0,0,4,18,6,221,-1,16384,3,0,171261.5,577.0514131,171675,170416,2.48E+07,1.01E+07,2.98E+07,9612803,0
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 12:43:28 PM,93001140,3,1,0,0,0,0,0,0,0,0,0,0,0,0.043010225,3.10E+07,5.37E+07,9.30E+07,1144,9.30E+07,4.65E+07,6.58E+07,9.30E+07,1144,0,0,0,0,0,0,0,0,0,0,0,0.032257669,0.010752556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,1150,0,1150,1150,9.30E+07,0,9.30E+07,9.30E+07,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 12:43:49 PM,1514032,2,1,100,50,50,50,50,0,50,50,50,0,99.07320321,1.981464064,757016,10050.81579,764123,749909,764123,764123,0,764123,764123,0,0,0,0,0,0,0,0,0,16,8,1.320976043,0.660488021,50,50,50,0,0,0,0,0,0,0,0,0,0,0,66.66666667,50,50,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,0
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,6,29/04/2015 12:45:32 PM,119999708,1,2,6,6,6,6,6,0,6,0,3,4.242640687,0.100000243,0.025000061,6.00E+07,8.48E+07,1.20E+08,57449,0,0,0,0,0,57449,57449,0,57449,57449,0,1,0,0,20,40,0.008333354,0.016666707,0,6,4.5,3,9,0,0,0,1,1,0,0,0,2,6,6,3,0,0,0,0,0,0,1,6,2,6,-1,16384,1,0,57449,0,57449,57449,1.20E+08,0,1.20E+08,1.20E+08,0
131.202.240.87-205.188.12.91-42522-443-6,205.188.12.91,443,131.202.240.87,42522,6,29/04/2015 12:45:32 PM,119999585,26,26,2720,1590,341,0,104.6153846,111.4109786,245,0,61.15384615,70.24852585,35.91679088,0.433334832,2352933.039,5983542.926,2.79E+07,1,9.37E+07,3746875.44,6573124.279,2.79E+07,1,1.20E+08,4799983.4,7926468.999,2.80E+07,19402,0,1,0,0,520,520,0.216667416,0.216667416,0,341,82.32075472,93.96332623,8829.106676,0,0,0,1,1,0,0,0,1,83.90384615,104.6153846,61.15384615,0,0,0,0,0,0,26,2720,26,1590,-1,63586,16,0,3288126,3120806.705,9244767,21034,1.67E+07,8291441.556,2.79E+07,9226508,0
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,6,29/04/2015 12:45:32 PM,119999693,1,2,74,74,74,74,74,0,74,0,37,52.32590181,1.233336489,0.025000064,6.00E+07,8.48E+07,1.20E+08,55138,0,0,0,0,0,55138,55138,0,55138,55138,0,1,0,0,20,40,0.008333355,0.016666709,0,74,55.5,37,1369,0,0,0,1,1,0,0,0,2,74,74,37,0,0,0,0,0,0,1,74,2,74,-1,16384,1,0,55138,0,55138,55138,1.20E+08,0,1.20E+08,1.20E+08,0
