Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.6.26-32445-13000-6,131.202.240.242,32445,131.202.6.26,13000,6,29/04/2015 12:44:33 PM,1385501,9,14,1424,5707,506,0,158.2222222,206.005933,1350,0,407.6428571,534.6953996,5146.874668,16.60049325,62977.31818,225544.7474,1067172,29,1384905,173113.125,366317.5695,1067172,962,264901,20377,26847.90036,79218,82,0,0,0,0,180,304,6.495845185,10.10464807,0,1350,297.125,441.7910496,195179.3315,0,1,0,0,0,0,0,0,1,310.0434783,158.2222222,407.6428571,0,0,0,0,0,0,9,1424,14,5707,-1,32768,4,0,0,0,0,0,0,0,0,0,1
131.202.240.242-131.202.6.26-32445-13000-6,131.202.6.26,13000,131.202.240.242,32445,6,29/04/2015 12:44:34 PM,39,1,1,0,0,0,0,0,0,0,0,0,0,0,51282.05128,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564,25641.02564,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,1
131.202.240.242-38.124.168.125-32446-80-6,131.202.240.242,32446,38.124.168.125,80,6,29/04/2015 12:44:34 PM,6880101,39,33,3873,28494,246,0,99.30769231,114.6367613,1350,0,863.4545455,490.3393653,4704.436752,10.46496265,96902.83099,263126.6807,2021997,10,6785995,178578.8158,344399.0327,2021997,48,6840021,213750.6562,418681.2497,2170725,14,0,0,0,0,780,684,5.668521436,4.796441215,0,1350,443.3835616,511.3995402,261529.4897,0,1,0,0,0,0,0,0,0,449.5416667,99.30769231,863.4545455,0,0,0,0,0,0,39,3873,33,28494,-1,1033,17,0,0,0,0,0,0,0,0,0,1
131.202.240.242-38.124.168.125-32446-80-6,38.124.168.125,80,131.202.240.242,32446,6,29/04/2015 12:44:41 PM,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,50000,50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1033,0,0,0,0,0,0,0,0,0,0,1
131.202.240.242-131.202.6.26-32447-13000-6,131.202.240.242,32447,131.202.6.26,13000,6,29/04/2015 12:45:03 PM,45218,9,11,2465,5708,1040,0,273.8888889,348.592328,1350,0,518.9090909,555.1505119,180746.6053,442.3017382,2379.894737,5180.882399,19239,28,44410,5551.25,7468.136558,19943,423,45057,4505.7,6918.204681,19609,95,0,0,0,0,180,244,199.0357822,243.265956,0,1350,389.1904762,474.882577,225513.4619,0,1,0,0,0,0,0,0,1,408.65,273.8888889,518.9090909,0,0,0,0,0,0,9,2465,11,5708,-1,32768,5,0,0,0,0,0,0,0,0,0,1
131.202.240.242-131.202.6.26-32447-13000-6,131.202.6.26,13000,131.202.240.242,32447,6,29/04/2015 12:45:03 PM,264,1,1,0,0,0,0,0,0,0,0,0,0,0,7575.757576,264,0,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3787.878788,3787.878788,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,1
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 12:43:07 PM,118296669,117,1,5850,50,50,50,50,0,50,50,50,0,49.87460805,0.997492161,1011082.641,1730917.433,1.20E+07,57,1.18E+08,1017783.793,1736901.944,1.20E+07,57,0,0,0,0,0,0,0,0,0,936,8,0.989038838,0.008453323,50,50,50,0,0,0,0,0,0,0,0,0,0,0,50.42372881,50,50,0,0,0,0,0,0,117,5850,1,50,-1,-1,117,0,1.50E+07,1.79E+07,4.48E+07,1501496,7686812,2803584.331,1.20E+07,5055562,1
131.202.240.242-224.0.0.252-59393-5355-17,131.202.240.242,59393,224.0.0.252,5355,17,29/04/2015 12:49:29 PM,420810,1,1,22,22,22,22,22,0,22,22,22,0,104.5602528,4.752738766,420810,0,420810,420810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.376369383,2.376369383,22,22,22,0,0,0,0,0,0,0,0,0,0,1,33,22,22,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,1
131.202.240.242-224.0.0.252-49806-5355-17,131.202.240.242,49806,224.0.0.252,5355,17,29/04/2015 12:53:18 PM,420300,1,1,22,22,22,22,22,0,22,22,22,0,104.6871282,4.758505829,420300,0,420300,420300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.379252915,2.379252915,22,22,22,0,0,0,0,0,0,0,0,0,0,1,33,22,22,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,1
131.202.240.242-224.0.0.252-61949-5355-17,131.202.240.242,61949,224.0.0.252,5355,17,29/04/2015 12:43:24 PM,417473,1,1,22,22,22,22,22,0,22,22,22,0,105.3960376,4.790728981,417473,0,417473,417473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.395364491,2.395364491,22,22,22,0,0,0,0,0,0,0,0,0,0,1,33,22,22,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,1
