Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-173.194.196.16-5474-465-6,131.202.240.242,5474,173.194.196.16,465,6,25/05/2015 12:53:05 PM,1956356,13,19,1965,4497,1294,0,151.1538462,347.3242592,1350,0,236.6842105,433.4176908,3303.079808,16.35694117,63108.25806,175794.4958,948043,27,1862085,155173.75,278202.1199,995875,1225,1956356,108686.4444,224076.4987,948043,113,0,0,0,0,260,404,6.64500735,9.71193382,0,1350,195.8181818,392.3062782,153904.2159,0,1,0,0,0,0,0,0,1,201.9375,151.1538462,236.6842105,0,0,0,0,0,0,13,1965,19,4497,-1,364,10,0,0,0,0,0,0,0,0,0,0
131.202.240.242-173.194.196.16-5474-465-6,131.202.240.242,5474,173.194.196.16,465,6,25/05/2015 12:53:07 PM,25490,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,1216.163201,117.693213,12745,17776.66448,25315,175,175,175,0,175,175,0,0,0,0,0,0,0,0,0,40,20,78.46214202,39.23107101,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16430,1,0,0,0,0,0,0,0,0,0,0
131.202.240.242-131.202.6.26-5475-13000-6,131.202.240.242,5475,131.202.6.26,13000,6,25/05/2015 12:53:11 PM,36545,9,11,2505,5708,1080,0,278.3333333,359.6602564,1350,0,518.9090909,555.1505119,224736.6261,547.2704884,1923.421053,3513.829445,12020,26,35849,4481.125,4874.154093,12894,505,36332,3633.2,4827.451175,12658,86,0,0,0,0,180,244,246.2717198,300.9987686,0,1350,391.0952381,477.6953951,228192.8905,0,1,0,0,0,0,0,0,1,410.65,278.3333333,518.9090909,0,0,0,0,0,0,9,2505,11,5708,-1,32768,5,0,0,0,0,0,0,0,0,0,0
131.202.240.242-131.202.6.26-5475-13000-6,131.202.6.26,13000,131.202.240.242,5475,6,25/05/2015 12:53:11 PM,49,1,1,0,0,0,0,0,0,0,0,0,0,0,40816.32653,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20408.16327,20408.16327,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,0
131.202.240.242-173.194.196.16-5477-465-6,131.202.240.242,5477,173.194.196.16,465,6,25/05/2015 12:53:28 PM,1158882,11,18,2225,873,1294,0,202.2727273,389.289119,240,0,48.5,64.15812268,2673.266131,25.02411807,41388.64286,67864.83045,330345,51,1061920,106192,111443.1809,379181,3841,1158882,68169.52941,76846.22359,330345,64,0,0,0,0,220,384,9.491906855,15.53221122,0,1294,103.2666667,246.2066602,60617.71954,0,1,0,0,0,0,0,0,1,106.8275862,202.2727273,48.5,0,0,0,0,0,0,11,2225,18,873,-1,364,10,0,0,0,0,0,0,0,0,0,0
131.202.240.242-173.194.196.16-5477-465-6,131.202.240.242,5477,173.194.196.16,465,6,25/05/2015 12:53:29 PM,23820,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,1301.427372,125.9445844,11910,16701.86217,23720,100,100,100,0,100,100,0,0,0,0,0,0,0,0,0,40,20,83.96305626,41.98152813,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16319,1,0,0,0,0,0,0,0,0,0,0
131.202.240.242-74.125.70.16-5479-995-6,131.202.240.242,5479,74.125.70.16,995,6,25/05/2015 12:53:31 PM,1015667,19,28,668,11882,181,0,35.15789474,47.57247472,1350,0,424.3571429,523.0106021,12356.41209,46.27500943,22079.71739,34763.65524,162363,11,717096,39838.66667,36608.56398,142430,164,1015667,37617.2963,43717.4816,162363,21,0,0,0,0,380,584,18.7069187,27.56809072,0,1350,261.4583333,442.6879674,195972.6365,0,1,0,0,0,0,0,0,1,267.0212766,35.15789474,424.3571429,0,0,0,0,0,0,19,668,28,11882,-1,344,11,0,0,0,0,0,0,0,0,0,0
131.202.240.242-74.125.70.16-5479-995-6,131.202.240.242,5479,74.125.70.16,995,6,25/05/2015 12:53:32 PM,34564,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,896.8869344,86.79550978,17282,24243.8631,34425,139,139,139,0,139,139,0,0,0,0,0,0,0,0,0,40,20,57.86367319,28.93183659,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16526,1,0,0,0,0,0,0,0,0,0,0
131.202.240.242-173.194.196.16-5481-465-6,131.202.240.242,5481,173.194.196.16,465,6,25/05/2015 12:54:20 PM,968874,11,17,2226,885,1327,0,202.3636364,400.0655628,240,0,52.05882353,65.21931327,3210.943838,28.89952667,35884.22222,57887.17258,281345,85,874217,87421.7,104173.1709,368851,1218,968874,60554.625,68268.50571,281345,125,0,0,0,0,220,364,11.35338548,17.54614119,0,1327,107.2758621,255.7467911,65406.42118,0,1,0,0,0,0,0,0,1,111.1071429,202.3636364,52.05882353,0,0,0,0,0,0,11,2226,17,885,-1,365,9,0,0,0,0,0,0,0,0,0,0
131.202.240.242-173.194.196.16-5481-465-6,131.202.240.242,5481,173.194.196.16,465,6,25/05/2015 12:54:21 PM,42336,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,732.2373394,70.861678,21168,29788.99448,42232,104,104,104,0,104,104,0,0,0,0,0,0,0,0,0,40,20,47.24111867,23.62055933,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16316,1,0,0,0,0,0,0,0,0,0,0
