Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 12:52:51 PM,2539884,13,22,1965,4490,1294,0,151.1538462,347.3242592,1350,0,204.0909091,409.8737214,2541.454649,13.78015689,74702.47059,178477.1156,920076,40,2445213,203767.75,297792.3154,967704,927,2539884,120946.8571,217297.1627,920076,48,0,0,0,0,260,464,5.118343987,8.661812902,0,1350,179.3055556,379.1533289,143757.2468,0,1,0,0,0,0,0,0,1,184.4285714,151.1538462,204.0909091,0,0,0,0,0,0,13,1965,22,4490,-1,364,10,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 12:52:54 PM,4277,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,7248.071078,701.4262333,2138.5,2462.852919,3880,397,397,397,0,397,397,0,0,0,0,0,0,0,0,0,40,20,467.6174889,233.8087444,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16432,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10759-465-6,131.202.240.87,10759,173.194.196.16,465,6,25/05/2015 12:53:11 PM,3150418,10,20,2227,884,1328,0,222.7,416.0245853,239,0,44.2,62.65074452,987.4880095,9.522545897,108635.1034,294380.3144,1538128,94,3054352,339372.4444,508231.3247,1589014,979,3150418,165811.4737,353420.0888,1538128,169,0,0,0,0,200,424,3.174181966,6.348363931,0,1328,100.3548387,248.6689296,61836.23656,0,1,0,0,0,0,0,0,2,103.7,222.7,44.2,0,0,0,0,0,0,10,2227,20,884,-1,365,9,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10759-465-6,131.202.240.87,10759,173.194.196.16,465,6,25/05/2015 12:53:14 PM,1878,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,16506.92226,1597.444089,939,1152.584053,1754,124,124,124,0,124,124,0,0,0,0,0,0,0,0,0,40,20,1064.962726,532.4813632,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16316,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10761-465-6,131.202.240.87,10761,173.194.196.16,465,6,25/05/2015 12:53:36 PM,2619634,10,20,2227,884,1328,0,222.7,416.0245853,239,0,44.2,62.65074452,1187.570477,11.45198146,90332.2069,211626.4351,1049082,123,2524946,280549.5556,362389.0228,1097015,2165,2619634,137875.4737,250589.062,1049082,133,0,0,0,0,200,424,3.817327153,7.634654307,0,1328,100.3548387,248.6689296,61836.23656,0,1,0,0,0,0,0,0,2,103.7,222.7,44.2,0,0,0,0,0,0,10,2227,20,884,-1,365,9,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10761-465-6,131.202.240.87,10761,173.194.196.16,465,6,25/05/2015 12:53:39 PM,2428,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,12767.71005,1235.584843,1214,1545.735424,2307,121,121,121,0,121,121,0,0,0,0,0,0,0,0,0,40,20,823.723229,411.8616145,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16316,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-216.58.219.206-10757-80-6,131.202.240.87,10757,216.58.219.206,80,6,25/05/2015 12:52:51 PM,60971628,4,4,541,779,541,0,135.25,270.5,779,0,194.75,389.5,21.64941372,0.131208568,8710232.571,2.30E+07,6.08E+07,86,6.09E+07,2.03E+07,3.51E+07,6.08E+07,2314,77497,25832.33333,3818.232619,29626,21990,0,0,0,0,80,104,0.065604284,0.065604284,0,779,146.6666667,297.0526048,88240.25,0,1,0,0,0,0,0,0,1,165,135.25,194.75,0,0,0,0,0,0,4,541,4,779,-1,344,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10763-465-6,131.202.240.87,10763,173.194.196.16,465,6,25/05/2015 12:53:55 PM,2275547,11,19,2227,878,1296,0,202.4545455,389.8500644,239,0,46.21052632,63.31804986,1364.507083,13.18364332,78467.13793,180677.6545,854196,37,2180701,218070.1,304968.9693,901611,959,2275547,126419.2778,217689.7979,854196,37,0,0,0,0,220,404,4.83400255,8.349640768,0,1296,100.1612903,243.0661222,59081.13978,0,1,0,0,0,0,0,0,1,103.5,202.4545455,46.21052632,0,0,0,0,0,0,11,2227,19,878,-1,364,10,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10763-465-6,131.202.240.87,10763,173.194.196.16,465,6,25/05/2015 12:53:58 PM,2048,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,15136.71875,1464.84375,1024,1313.804399,1953,95,95,95,0,95,95,0,0,0,0,0,0,0,0,0,40,20,976.5625,488.28125,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16318,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10765-465-6,131.202.240.87,10765,173.194.196.16,465,6,25/05/2015 12:54:08 PM,2382589,11,21,2227,884,1296,0,202.4545455,389.8500644,239,0,42.0952381,61.82144026,1305.722472,13.43076796,76857.70968,175129.231,854198,54,2287949,228794.9,300173.7453,901653,882,2382589,119129.45,207872.1851,854198,137,0,0,0,0,220,444,4.616826486,8.813941473,0,1296,94.27272727,236.5814174,55970.76705,0,1,0,0,0,0,0,0,1,97.21875,202.4545455,42.0952381,0,0,0,0,0,0,11,2227,21,884,-1,364,10,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10765-465-6,131.202.240.87,10765,173.194.196.16,465,6,25/05/2015 12:54:10 PM,3806,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,8145.034157,788.2291119,1903,2552.65548,3708,98,98,98,0,98,98,0,0,0,0,0,0,0,0,0,40,20,525.4860746,262.7430373,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16316,1,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10767-465-6,131.202.240.87,10767,173.194.196.16,465,6,25/05/2015 12:54:20 PM,2482644,10,20,2227,884,1328,0,222.7,416.0245853,239,0,44.2,62.65074452,1253.099518,12.08389121,85608.41379,192825.3045,865723,49,2388113,265345.8889,332594.1049,913671,1364,2482644,130665.4737,227500.933,865723,49,0,0,0,0,200,424,4.027963735,8.055927471,0,1328,100.3548387,248.6689296,61836.23656,0,1,0,0,0,0,0,0,2,103.7,222.7,44.2,0,0,0,0,0,0,10,2227,20,884,-1,365,9,0,0,0,0,0,0,0,0,0,1
131.202.240.87-173.194.196.16-10767-465-6,131.202.240.87,10767,173.194.196.16,465,6,25/05/2015 12:54:22 PM,2582,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,12006.19675,1161.890008,1291,1620.688742,2437,145,145,145,0,145,145,0,0,0,0,0,0,0,0,0,40,20,774.5933385,387.2966692,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,16316,1,0,0,0,0,0,0,0,0,0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/05/2015 12:52:38 PM,119977732,2497,1,0,0,0,0,0,0,0,0,0,0,0,20.82053026,48048.7513,133869.4324,1584415,18,1.20E+08,48062.56691,133894.4767,1584415,18,0,0,0,0,0,0,0,0,0,0,0,20.81219538,0.00833488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1
131.202.240.183-131.202.243.255-54357-32412-17,131.202.240.183,54357,131.202.243.255,32412,17,25/05/2015 12:52:39 PM,114999654,23,1,483,21,21,21,21,0,21,21,21,0,4.382621882,0.20869628,4999984.957,476.2331818,5001044,4999170,1.10E+08,4999979.182,486.6152911,5001044,4999170,0,0,0,0,0,0,0,0,0,184,8,0.200000602,0.008695678,21,21,21,0,0,0,0,0,0,0,0,0,0,0,21.875,21,21,0,0,0,0,0,0,23,483,1,21,-1,-1,23,0,8570945.571,4755846.513,1.50E+07,4999295,5000451.111,340.2261911,5001044,5000102,1
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,17,25/05/2015 12:52:39 PM,114999603,23,1,483,21,21,21,21,0,21,21,21,0,4.382623825,0.208696373,4999982.739,582.9318701,5001253,4998949,1.10E+08,4999975.364,595.5503693,5001253,4998949,0,0,0,0,0,0,0,0,0,184,8,0.20000069,0.008695682,21,21,21,0,0,0,0,0,0,0,0,0,0,0,21.875,21,21,0,0,0,0,0,0,23,483,1,21,-1,-1,23,0,9165972.5,4915994.351,1.50E+07,4998949,5000498.8,394.1798236,5001253,5000034,1
