Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.10-74.125.226.38-49583-80-6,10.8.0.10,49583,74.125.226.38,80,6,14/04/2015 04:13:01 PM,182366,8,6,3058.0,2142.0,1054.0,0.0,382.25,528.1898332985974,1338.0,0.0,357.0,554.4828220964108,28514.087055701173,76.76869591919547,14028.153846153846,17508.589334219905,52621.0,22.0,156367.0,22338.14285714286,19054.911995148577,52621.0,79.0,136998.0,27399.6,33111.90767382635,82059.0,114.0,0,0,0,0,256,208,43.867826239540264,32.9008696796552,0.0,1338.0,346.66666666666674,508.57611688582733,258649.66666666672,0,1,0,0,0,0,0,0,0.0,371.42857142857144,382.25,357.0,0,0,0,0,0,0,8,3058,6,2142,-1,366,3,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.38-49583-80-6,74.125.226.38,80,10.8.0.10,49583,6,14/04/2015 04:13:01 PM,9812,2,3,125.0,1338.0,125.0,0.0,62.5,88.38834764831844,1338.0,0.0,446.0,772.4946601757192,149103.13901345292,509.5801059926621,2453.0,4842.7220307040825,9717.0,11.0,9728.0,9728.0,0.0,9728.0,9728.0,95.0,47.5,23.33452377915607,64.0,31.0,0,0,0,0,64,72,203.83204239706484,305.7480635955972,0.0,1338.0,466.83333333333337,676.537187940668,457702.5666666667,0,0,0,0,1,0,0,0,1.0,560.2,62.5,446.0,0,0,0,0,0,0,2,125,3,1338,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
173.194.123.4-10.8.0.10-80-34709-6,10.8.0.10,34709,173.194.123.4,80,6,14/04/2015 04:13:02 PM,5556365,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7198951112822861,1852121.6666666667,3185810.2593683028,5530749.0,52.0,5530749.0,5530749.0,0.0,5530749.0,5530749.0,25564.0,25564.0,0.0,25564.0,25564.0,0,0,0,0,64,80,0.35994755564114306,0.35994755564114306,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.32-45128-80-6,10.8.0.10,45128,74.125.226.32,80,6,14/04/2015 04:13:02 PM,5640074,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092105529111852,1880024.6666666667,3233893.045325144,5614173.0,51.0,5614173.0,5614173.0,0.0,5614173.0,5614173.0,25850.0,25850.0,0.0,25850.0,25850.0,0,0,0,0,64,80,0.3546052764555926,0.3546052764555926,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.189.89.105-33936-80-6,10.8.0.10,33936,91.189.89.105,80,6,14/04/2015 04:13:34 PM,281118,2,5,225.0,1239.0,225.0,0.0,112.5,159.0990257669732,1239.0,0.0,247.8,554.0976448244479,5207.777516914605,24.900575559017923,46853.0,71358.73165072373,138972.0,42.0,139.0,139.0,0.0,139.0,139.0,281118.0,70279.5,79431.53671978571,139151.0,42.0,0,0,0,0,64,176,7.114450159719406,17.786125399298516,0.0,1239.0,183.0,433.89169155447075,188262.0,0,1,0,0,0,0,0,0,2.0,209.14285714285714,112.5,247.8,0,0,0,0,0,0,2,225,5,1239,-1,122,1,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.189.89.105-33936-80-6,10.8.0.10,33936,91.189.89.105,80,6,14/04/2015 04:13:34 PM,691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1447.178002894356,1447.178002894356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.22-41939-80-6,10.8.0.10,41939,74.125.226.22,80,6,14/04/2015 04:12:29 PM,65672307,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284067773041687,4690879.071428571,4987012.793349133,1.0022574E7,25418.0,5.5624303E7,9270717.166666668,1903945.8376071963,1.0048006E7,5384304.0,6.0314162E7,8616308.857142856,3788219.144385324,1.0050529E7,25436.0,0,0,0,0,224,256,0.10658982940861206,0.12181694789555664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,8,0,-1,341,0,0,25856.0,1035.1917696736195,27969.0,25418.0,1.00221445E7,1032.4709681148129,1.0022574E7,1.0020037E7,No Label
173.194.123.70-10.8.0.10-80-42610-6,10.8.0.10,42610,173.194.123.70,80,6,14/04/2015 04:12:33 PM,64801748,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23147523736551057,4628696.285714285,4983785.17209439,1.0022689E7,25321.0,5.475374E7,9125623.333333334,2259348.264810334,1.004801E7,4513748.0,6.0313339E7,8616191.285714285,3788175.4109280948,1.0048425E7,25417.0,0,0,0,0,224,256,0.10802177743723826,0.1234534599282723,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,8,0,-1,383,0,0,25585.833333333332,317.71522888691806,26167.0,25321.0,1.0022414166666666E7,321.4687646828082,1.0022689E7,1.0021832E7,No Label
10.8.0.10-91.189.89.106-34809-443-6,10.8.0.10,34809,91.189.89.106,443,6,14/04/2015 04:13:37 PM,592101,9,9,720.0,4756.0,309.0,0.0,80.0,123.7366154377919,1338.0,0.0,528.4444444444445,618.0509912440702,9248.422144194994,30.40021888157595,34829.470588235294,61576.58528624907,144866.0,9.0,450374.0,56296.75,75430.10168503212,151068.0,25.0,585899.0,73237.375,76262.8701886489,146597.0,39.0,0,0,0,0,288,304,15.200109440787974,15.200109440787974,0.0,1338.0,288.2105263157895,481.3766807521214,231723.5087719298,0,1,0,0,0,0,0,0,1.0,304.22222222222223,80.0,528.4444444444445,0,0,0,0,0,0,9,720,9,4756,-1,139,3,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.189.89.106-34809-443-6,91.189.89.106,443,10.8.0.10,34809,6,14/04/2015 04:13:38 PM,68,1,2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,26.5,37.476659402887016,779411.7647058824,44117.64705882353,34.0,22.627416997969522,50.0,18.0,0,0,0,0,0,50.0,50.0,0.0,50.0,50.0,0,1,0,0,32,52,14705.882352941177,29411.764705882353,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,2.0,35.333333333333336,0.0,26.5,0,0,0,0,0,0,1,0,2,53,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
